complaint_id,complaint_text,area,type,filing_date,department,predicted_priority,status,area_eta,type_eta,resolved_days,resolution_date,predicted_priority_eta,rating,feedback_text,resolution_status,actual_cost,resolved_on,predicted_cost,actual_cost_anomaly,variance_flag,type_anomaly,area_anomaly,resolved_days_new,resolution_date_new,cost_difference,cost_diff_percent
C0001,"Uncollected garbage near Lane 54 in Bavdhan, causing health concerns.",Bavdhan,Garbage Issue,2024-01-13,Municipal Waste Management Department,Medium,In Progress,Chinchwad,Drainage Problem,41,2024-02-23,Medium,1,Not satisfied with the service.,Completed,7683,2024-05-25,7285,False,Yes,Garbage Issue,Bavdhan,16,2024-01-29,398,0.0546328071379547
C0002,"Frequent power cuts near Lane 3 in Hadapsar, needs investigation.",Hadapsar,Electricity Issue,2024-02-28,Electricity Distribution Department,High,Pending,Camp,Animal Nuisance,23,2024-03-22,Low,2,"Not bad, not great.",Completed,1468,2024-04-08,1403,False,No,Electricity Issue,Hadapsar,0,,65,0.0463292943692088
C0003,"Unauthorized parking near Lane 64 in Koregaon Park, causing congestion.",Koregaon Park,Illegal Parking,2024-02-03,Traffic and Transportation Department,Medium,Resolved,Erandwane,Animal Nuisance,73,2024-04-16,Medium,5,"Resolved quickly, thanks!",In Progress,0,,360,True,Yes,Illegal Parking,Koregaon Park,14,2024-02-17,360,1.0
C0004,"Uncollected garbage near Lane 11 in Bibwewadi, causing health concerns.",Bibwewadi,Garbage Issue,2024-04-09,Municipal Waste Management Department,Medium,Pending,Pimpri,Road Damage,-42,2024-02-27,Medium,2,Very poor response.,Completed,1336,2024-10-01,1106,False,No,Garbage Issue,Bibwewadi,0,,230,0.2079566003616636
C0005,"Tree fallen near Lane 19 in Shivajinagar, blocking road and footpath.",Shivajinagar,Tree Falling,2024-01-20,Urban Forestry and Landscaping Department,High,Pending,Fursungi,Road Damage,99,2024-04-28,Low,5,Issue handled professionally.,Completed,3697,2024-02-15,3303,False,Yes,Tree Falling,Shivajinagar,0,,394,0.119285498032092
C0006,"Unauthorized parking near Lane 6 in Erandwane, causing congestion.",Erandwane,Illegal Parking,2024-03-28,Traffic and Transportation Department,Medium,Pending,Fursungi,Drainage Problem,273,2024-12-26,High,5,Appreciate the fast response.,Completed,7520,2024-03-24,7091,False,Yes,Illegal Parking,Erandwane,0,,429,0.0604992243689183
C0007,"Damaged road with potholes near Lane 32 in Kondhwa, dangerous for vehicles.",Kondhwa,Road Damage,2024-02-12,Public Works Department,High,Pending,Bibwewadi,Illegal Construction,73,2024-04-25,Low,2,Issue still persists.,In Progress,0,,200,True,No,Road Damage,Kondhwa,0,,200,1.0
C0008,"Stray dogs causing fear near Lane 27 in Hadapsar, especially for kids.",Hadapsar,Animal Nuisance,2024-04-06,Animal Control and Welfare Department,Low,Resolved,Pashan,Water Leakage,161,2024-09-14,Low,2,Not satisfied with the service.,In Progress,0,,-480,False,Yes,Animal Nuisance,Hadapsar,23,2024-04-29,480,-1.0
C0009,"Streetlights not working near Lane 53 in Warje, causing night-time hazards.",Warje,Streetlight Issue,2024-01-03,Urban Lighting and Infrastructure Department,Medium,In Progress,Kothrud,Road Damage,130,2024-05-12,Medium,5,Very satisfied with the resolution.,Completed,8164,2024-02-28,8278,False,No,Streetlight Issue,Warje,15,2024-01-18,114,0.0137714423773858
C0010,"Streetlights not working near Lane 52 in Warje, causing night-time hazards.",Warje,Streetlight Issue,2024-01-16,Urban Lighting and Infrastructure Department,Medium,Pending,Erandwane,Tree Fall,32,2024-02-17,Low,1,Issue still persists.,In Progress,0,,-379,False,Yes,Streetlight Issue,Warje,0,,379,-1.0
